year,geo_name,geo,income
2015,"Calaveras County","05000US06009",53233.0
2015,"Colusa County","05000US06011",52168.0
2015,"Contra Costa County, CA","05000US06013",80185.0
2015,"Del Norte County","05000US06015",40847.0
2015,"El Dorado County, CA","05000US06017",69584.0
2015,"Fresno County, CA","05000US06019",45233.0
2015,"Glenn County","05000US06021",39349.0
2015,"Humboldt County, CA","05000US06023",42197.0
2015,"Imperial County, CA","05000US06025",41079.0
2015,"Inyo County","05000US06027",45955.0
2015,"Kern County, CA","05000US06029",49026.0
2015,"Kings County, CA","05000US06031",46481.0
2015,"Lake County","05000US06033",35578.0
2015,"Lassen County","05000US06035",51555.0
2015,"Los Angeles County, CA","05000US06037",56196.0
2015,"Madera County, CA","05000US06039",45073.0
2015,"Marin County, CA","05000US06041",93257.0
2015,"Mariposa County","05000US06043",47681.0
2015,"Mendocino County","05000US06045",42980.0
2015,"Merced County, CA","05000US06047",42462.0
2015,"Modoc County","05000US06049",37860.0
2015,"Mono County","05000US06051",56944.0
2015,"Monterey County, CA","05000US06053",58783.0
2015,"Napa County, CA","05000US06055",71379.0
2015,"Nevada County, CA","05000US06057",56521.0
2015,"Orange County, CA","05000US06059",76509.0
2015,"Placer County, CA","05000US06061",73948.0
2015,"Plumas County","05000US06063",47333.0
2015,"Riverside County, CA","05000US06065",56603.0
2015,"Sacramento County, CA","05000US06067",55987.0
2015,"San Benito County","05000US06069",71077.0
2015,"San Bernardino County, CA","05000US06071",53433.0
2015,"San Diego County, CA","05000US06073",64309.0
2015,"San Francisco County, CA","05000US06075",81294.0
2015,"San Joaquin County, CA","05000US06077",53274.0
2015,"San Luis Obispo County, CA","05000US06079",60691.0
2015,"San Mateo County, CA","05000US06081",93623.0
2015,"Santa Barbara County, CA","05000US06083",63985.0
2015,"Santa Clara County, CA","05000US06085",96310.0
2015,"Santa Cruz County, CA","05000US06087",67256.0
2015,"Shasta County, CA","05000US06089",44620.0
2015,"Sierra County","05000US06091",42833.0
2015,"Siskiyou County","05000US06093",37170.0
2015,"Solano County, CA","05000US06095",66828.0
2015,"Sonoma County, CA","05000US06097",64240.0
2015,"Stanislaus County, CA","05000US06099",50125.0
2015,"Sutter County","05000US06101",52017.0
2015,"Tehama County","05000US06103",41001.0
2015,"Trinity County","05000US06105",34974.0
2015,"Tulare County, CA","05000US06107",42031.0
2015,"Tuolumne County","05000US06109",50306.0
2015,"Ventura County, CA","05000US06111",77348.0
2015,"Yolo County, CA","05000US06113",54989.0
2015,"Yuba County","05000US06115",46892.0
2016,"Alameda County, CA","05000US06001",79831.0
2016,"Alpine County","05000US06003",62375.0
2016,"Amador County","05000US06005",57032.0
2016,"Butte County, CA","05000US06007",44366.0
2016,"Calaveras County","05000US06009",53502.0
2016,"Colusa County","05000US06011",54946.0
2016,"Contra Costa County, CA","05000US06013",82881.0
2016,"Del Norte County","05000US06015",42363.0
2016,"El Dorado County, CA","05000US06017",72586.0
2016,"Fresno County, CA","05000US06019",45963.0
